date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-04-20,462,513,362,4321027,167
2024-04-21,218,253,188,1702950,49
2024-04-22,106,141,108,871220,28
2024-04-23,383,420,378,2650620,52
2024-04-24,278,297,258,1942637,78
2024-04-25,253,271,224,2040294,40
2024-04-26,202,200,148,1362466,56
2024-04-27,298,276,167,2394757,104
2024-04-28,133,214,145,1927161,41
2024-04-29,146,135,102,1076416,17
2024-04-30,177,122,91,1020915,24
2024-05-01,50,57,41,485675,7
2024-05-02,189,104,77,896365,28
2024-05-03,535,423,282,3995068,126
2024-05-04,114,335,215,3292805,44
2024-05-05,54,150,94,1603087,21
2024-05-06,61,55,38,345021,4
2024-05-07,349,92,90,524196,15
2024-05-08,58,106,94,614569,11
2024-05-09,70,120,118,682559,5
2024-05-10,79,123,103,733481,13
2024-05-11,133,174,167,1270055,11
2024-05-12,119,184,160,1161530,28
2024-05-13,45,61,41,406118,12
2024-05-14,208,149,145,938038,8
2024-05-15,150,286,261,1786030,29
2024-05-16,97,118,114,393715,12
2024-05-17,1123,457,431,3583098,152
2024-05-18,125,488,445,4419314,45
2024-05-19,1635,218,188,1689646,16
2024-05-20,76,143,122,899464,16
2024-05-21,45,148,133,941243,8
2024-05-22,50,206,173,1625010,9
